				"UTGÅENDE SALDO 31.01.2014"		179.95

"BOKFØRINGSDATO"	"RENTEDATO"	"ARKIVREFERANSE"	"TYPE"	"TEKST"	"UT FRA KONTO"	"INN PÅ KONTO"	
"2014-01-06"	"2014-01-06"	"12345678900"	"Varekjøp"	"04.01 COOP EXTRA"	195.89		
"2014-01-06"	"2014-01-06"	"12345678900"	"Varekjøp"	"04.01 NILLE"	469.80		
"2014-01-06"	"2014-01-06"	"12345678900"	"Varekjøp"	"04.01 ELKJØP"	149.00		
"2014-01-06"	"2014-01-06"	"12345678900"	"Varekjøp"	"04.01 SPAR MAT"	177.80		
"2014-01-06"	"2014-01-06"	"12345678900"	"Varekjøp"	"04.01 ICA Supermarked"	291.75		
"2014-01-06"	"2014-01-04"	"12345678900"	"Overføring"	"Overføring SMS"		1500.00	
"2014-01-03"	"2014-01-03"	"12345678900"	"Visa"	"*0000 31.12 NOK 79.00 WWW.NETFLIX.COM Kurs: 1.0000"	79.00		
"2014-01-03"	"2014-01-03"	"12345678900"	"Overføring"	"Overføring SMS"		500.00	

				"INNGÅENDE SALDO 01.01.2014"		389.39
